reg_id,cell_viability,processing_date,comment,RNA isolation kit,Kit lot number,Elution vol (ul),Macrophage RNA Tube ID,Macrophage RNA Tube Location Box ID,Date of RNA QC,RNA volume for QC,RIN,RNA concentration (pg/ul),TS comment,TechCore comment,Sequence?,TapeStation assay type,ul for 250 pg,Complete?,Library prep date,Sample,RNA Tube ID,Library prep plate,RNAseq batch
subject_3810,66.7,2017-08-19,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),,,,,,,,,,,,,,,,,,,,
subject_6337,,,,,,,,,,,,,,,,,,,,,,,
subject_5131,46.4,,,,,,,,,,,,,,,,,,,5131-SMP-04,,,
subject_3195,58.6,2024-02-15,Sample extremely-mucous like; small yield in cells and insufficient amount to sort,Norgen Single Cell RNA kit,161004778.0,14.0,303703771.0,TS01063219,2024-02-16,2.0,,855.7,ok,ok,Yes,Pico RNA,1.36,Complete,2024-03-11,3195-SMP-05,303703771.0,D1,SCRIPT_RNAseq_Batch_01
subject_6968,77.2,,,,,,,,,,,,,,No,,,,,,,,
subject_4087,89.8,,,,,,,,,,,,,,,,,,,,,,
subject_2885,34.2,,,,,,,,,,,,,,,,,,,,,,
subject_4407,74.2,2022-11-27,,Norgen Single Cell RNA kit,170220164.0,18.0,302006130.0,TS01063219,2022-11-29,3.0,,1194.1,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Pico RNA,3.44,Complete,2022-12-13,4407-SMP-03,302006130.0,H1,SCRIPT_RNAseq_Batch_01
subject_7168,48.4,2019-01-14,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",QIAGEN RNeasy Plus Micro,160052304.0,14.0,304299831.0,TS01063219,2019-01-14,3.0,,25.7,,Use for sequencing.,Yes,Standard RNA,8.15,Complete,2019-02-09,7168-SMP-02,304299831.0,A1,SCRIPT_RNAseq_Batch_04
subject_2532,,,,,,,,,,,,,,,,,,,,,,,
subject_5011,43.3,2020-03-31,RNA concentration outside recommended range for RINe,QIAGEN RNeasy Micro,160047191.0,18.0,303377758.0,TS01063219,2020-04-02,3.0,,271.1,RNA concentration outside recommended range for RINe,Use for sequencing.,Yes,Standard RNA,6.36,Partial,2020-04-30,5011-SMP-09,303377758.0,B1,SCRIPT_RNAseq_Batch_03
subject_2517,62.0,,,,,,,,,,,,,,,,,,,,,,
subject_4514,,,,,,,,,,,,,,,No,,,,,,,,
subject_8598,40.4,,,,,,,,,,,,,,,,,,,,,,
subject_6390,65.4,,,,,,,,,,,,,,,,,,,,,,
subject_4031,76.5,,,,,,,,,,,,,,,,,,,,,,
subject_6543,88.3,,,,,,,,,,,,,,,,,,,,,,
subject_6410,60.1,2016-11-15,,QIAGEN RNeasy Plus Micro,160047191.0,12.0,303384993.0,TS01063219,,,,,,,,,,,,6410-SMP-07,303384993.0,,
subject_6148,40.3,,,,,,,,,,,,,,No,,,,,,,,
subject_3498,58.9,,RNA concentration outside recommended range for RINe,,,,,,,,,,,,,,,,,,,,
subject_6265,51.1,2022-03-16,,QIAGEN RNeasy Micro,160047191.0,12.0,303211120.0,TS01069817,2022-03-17,1.0,6.2,4742.8,RNA concentration outside recommended range for RINe; RINe edited,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Pico RNA,0.97,Complete,2022-04-13,6265-SMP-01,303211120.0,G1,SCRIPT_RNAseq_Batch_04
subject_3215,79.1,,RNA concentration outside recommended range for RINe,,,,,,,,,,,,,,,,,,,,
subject_6867,74.8,2018-10-24,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",QIAGEN RNeasy Micro,161004778.0,12.0,302164218.0,TS01069817,2018-10-25,1.0,6.6,676.2,ok,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Pico RNA,2.22,Complete,2018-11-18,6867-SMP-05,302164218.0,F1,SCRIPT_RNAseq_Batch_03
subject_6390,79.5,2017-06-02,,,,,304575121.0,TS01063219,,,,,,,,,,,,6390-SMP-02,304575121.0,,
subject_4672,75.1,2022-03-25,,,,,,,,,,,,,,,,,,,,,
subject_3523,75.3,,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),,,,,,,,,,,,,,,,,,,,
subject_8010,52.6,,,,,,,,,,,,,,,,,,,,,,
subject_7149,99.0,,,,,,,,,,,,,,,,,,,,,,
subject_2124,30.0,2019-06-13,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),QIAGEN RNeasy Plus Micro,170220164.0,16.0,301439894.0,TS01069817,2019-06-14,1.0,6.0,2942.3,,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,HSRNA,8.49,Partial,2019-07-08,2124-SMP-03,301439894.0,E1,SCRIPT_RNAseq_Batch_01
subject_5280,29.5,2016-02-01,,,,,,,,,,,,,,,,,,,,,
subject_8349,,,,,,,,,,,,,,,,,,,,,,,
subject_6901,74.8,2019-01-22,,QIAGEN RNeasy Micro,160047191.0,14.0,302462608.0,TS01064421,,,,,,,,,,,,6901-SMP-03,302462608.0,,
subject_4313,62.7,,,,,,,,,,,,,,,,,,,,,,
subject_8645,41.5,2022-03-24,,,,,,,,,,,,,,,,,,,,,
subject_7742,69.3,,,,,,301503117.0,TS01064421,,,,,,,,,,,,7742-SMP-08,301503117.0,,
subject_4162,,,,,,,,,,,,,,,,,,,,,,,
subject_8713,60.0,2019-01-22,,QIAGEN RNeasy Micro,161004778.0,18.0,300829221.0,TS01064421,2019-01-23,3.0,,193.0,RNA concentration outside recommended range for RINe; RINe edited,Use for sequencing.,Yes,Pico RNA,3.28,Complete,2019-02-08,8713-SMP-01,300829221.0,G1,SCRIPT_RNAseq_Batch_04
subject_3975,82.6,,,,,,,,,,,,,,,,,,,,,,
subject_7791,90.4,2016-04-14,,QIAGEN RNeasy Plus Micro,160047191.0,18.0,302058450.0,TS01069817,2016-04-14,3.0,,72.0,RNA concentration outside recommended range for RINe; RINe edited,Use for sequencing.,Yes,Pico RNA,0.91,Complete,2016-05-12,7791-SMP-00,302058450.0,A1,SCRIPT_RNAseq_Batch_02
subject_8182,25.9,,,,,,,,,,,,,,,,,,,,,,
subject_4152,77.1,,,,,,,,,,,,,,,,,,,,,,
subject_2624,88.0,2021-09-23,,,,,304181845.0,TS01063219,,,,,,,,,,,,2624-SMP-09,304181845.0,,
subject_8690,66.6,,,,,,301287776.0,TS01069817,,,,,,,,,,,,8690-SMP-06,301287776.0,,
subject_6428,70.1,2017-05-07,,QIAGEN RNeasy Plus Micro,160052304.0,14.0,304106447.0,TS01069817,2017-05-07,3.0,,294.0,RNA concentration outside recommended range for RINe,ok,Yes,Pico RNA,6.03,Complete,2017-05-20,6428-SMP-04,304106447.0,G1,SCRIPT_RNAseq_Batch_02
subject_4501,81.3,,,,,,,,,,9.7,218.5,,,Yes,,,,,,,,
subject_6765,,,,,,,,,,,,,,,,,,,,,,,
subject_8645,63.5,2021-03-14,,QIAGEN RNeasy Micro,160047191.0,14.0,304708047.0,TS01069817,2021-03-15,3.0,,1717.7,,Use for sequencing.,Yes,Pico RNA,0.66,Partial,2021-03-29,8645-SMP-00,304708047.0,C1,SCRIPT_RNAseq_Batch_04
subject_2387,99.0,,,,,,,,,,,,,,,,,,,,,,
subject_2442,56.1,,,,,,303307862.0,TS01069817,,,,,,,,,,,,2442-SMP-00,303307862.0,,
subject_3005,59.3,2019-02-15,,,,,,,,,,,,,,,,,,,,,
subject_4235,87.9,,,,,,,,,,,,,,,,,,,,,,
subject_4978,78.0,2019-06-07,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),QIAGEN RNeasy Micro,161004778.0,14.0,301236291.0,TS01064421,2019-06-09,2.0,7.5,34952.5,,Use for sequencing.,Yes,HSRNA,4.93,Complete,2019-06-24,4978-SMP-08,301236291.0,C1,SCRIPT_RNAseq_Batch_01
subject_4214,,,,,,,,,,,,,,,,,,,,,,,
subject_4132,57.6,2020-06-17,,QIAGEN RNeasy Plus Micro,161004778.0,18.0,303335507.0,TS01069817,2020-06-17,1.0,,1732.8,RNA concentration outside recommended range for RINe,Use for sequencing.,Yes,Standard RNA,8.27,Complete,2020-07-01,4132-SMP-05,303335507.0,E1,SCRIPT_RNAseq_Batch_01
subject_2239,99.0,,,,,,,,,,,,,,,,,,,,,,
subject_3456,56.9,2021-11-16,RNA concentration outside recommended range for RINe,Norgen Single Cell RNA kit,170220164.0,16.0,300002783.0,TS01069817,2021-11-19,3.0,8.3,9808.8,,Use for sequencing.,Yes,HSRNA,6.87,Complete,2021-12-04,3456-SMP-03,300002783.0,D1,SCRIPT_RNAseq_Batch_04
subject_3512,61.1,,,,,,,,,,,,,,,,,,,,,,
subject_6429,47.5,,,,,,,,,,,,,,,,,,,,,,
subject_6342,,,,,,,,,,,,,,,,,,,,,,,
subject_8235,26.3,2017-12-19,,Norgen Single Cell RNA kit,170220164.0,18.0,303560460.0,TS01063219,2017-12-21,1.0,8.2,25831.6,RNA concentration outside recommended range for RINe,ok,Yes,Standard RNA,7.88,Partial,2018-01-21,8235-SMP-02,303560460.0,D1,SCRIPT_RNAseq_Batch_02
subject_8994,57.0,2020-07-10,,Norgen Single Cell RNA kit,170220164.0,16.0,304167757.0,TS01063219,2020-07-11,3.0,,331.9,ok,Use for sequencing.,Yes,HSRNA,6.57,Partial,2020-07-18,8994-SMP-08,304167757.0,B1,SCRIPT_RNAseq_Batch_03
subject_3763,61.0,,,,,,,,,,,,,,,,,,,,,,
subject_3836,,,Sample extremely-mucous like; small yield in cells and insufficient amount to sort,,,,,,,,5.9,21.2,,,No,,,,,,,,
subject_7477,44.7,,,,,,,,,,,,,,,,,,,,,,
subject_5895,54.3,,,,,,,,,,,,,,,,,,,,,,
subject_2766,66.4,,,QIAGEN RNeasy Plus Micro,161004778.0,12.0,,,,,,,,,,,,,,,,,
subject_7377,64.4,,,,,,,,,,,,,,,,,,,,,,
subject_3466,62.8,,,,,,,,,,,,,,,,,,,,,,
subject_3901,,,,,,,,,,,,,,,,,,,,,,,
subject_7036,92.8,2023-06-19,All 7 mL of sample were processed - cell count was too low to sort,Norgen Single Cell RNA kit,160052304.0,16.0,,,,,,,,,,,,,,,,,
subject_4141,41.7,2021-11-22,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",QIAGEN RNeasy Micro,160047191.0,16.0,304463922.0,TS01069817,2021-11-24,1.0,,2005.3,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,HSRNA,7.87,Complete,2021-12-19,4141-SMP-06,304463922.0,A1,SCRIPT_RNAseq_Batch_01
subject_8524,69.8,,,,,,,,,,,,,,,,,,,,,,
subject_8699,50.4,,,,,,,,,,,,,,,,,,,,,,
subject_6879,81.9,,,,,,,,,,,,,,,,,,,,,,
subject_3992,56.6,2018-09-25,,QIAGEN RNeasy Micro,161004778.0,12.0,300740698.0,TS01069817,2018-09-28,3.0,,2656.9,ok,Use for sequencing.,Yes,Standard RNA,5.34,Complete,2018-10-22,3992-SMP-06,300740698.0,E1,SCRIPT_RNAseq_Batch_02
subject_2598,7.3,,,,,,,,,,,,,,,,,,,,,,
subject_8015,38.6,2020-04-03,,,,,,,,,,,,,,,,,,,,,
subject_4004,50.1,,,,,,,,,,,,,,,,,,,,,,
subject_5749,68.5,,,,,,,,,,,,,,,,,,,5749-SMP-03,,,
subject_3498,73.6,2020-07-09,All 7 mL of sample were processed - cell count was too low to sort,QIAGEN RNeasy Plus Micro,170220164.0,16.0,303076031.0,TS01064421,2020-07-11,2.0,7.1,44128.7,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",No,Standard RNA,5.04,Partial,2020-07-25,3498-SMP-03,303076031.0,D1,SCRIPT_RNAseq_Batch_02
subject_8908,76.6,,,,,,,,,,,,,,,,,,,,,,
subject_8927,53.8,,,,,,,,,,,,,,,,,,,,,,
subject_5768,69.9,,,,,,,,,,,,,,,,,,,,,,
subject_5494,93.1,2017-08-08,,Norgen Single Cell RNA kit,161004778.0,12.0,,,,,,,,,,,,,,,,,
subject_3230,61.6,,,,,,,,,,,,,,,,,,,,,,
subject_8950,88.7,,,,,,,,,,,,,,,,,,,,,,
subject_5158,52.5,,,,,,,,,,,,,,,,,,,,,,
subject_2650,62.3,,,,,,,,,,,,,,,,,,,,,,
subject_7467,72.1,,,,,,,,,,,,,,,,,,,7467-SMP-04,,,
subject_5989,85.1,2021-06-02,,Norgen Single Cell RNA kit,160052304.0,14.0,,,,,,,,,,,,,,,,,
subject_3519,69.4,,,,,,,,,,,,,,No,,,,,,,,
subject_4141,83.2,,,,,,,,,,,,,,,,,,,,,,
subject_4145,,2019-02-28,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",QIAGEN RNeasy Plus Micro,161004778.0,12.0,301897477.0,TS01069817,2019-03-03,2.0,9.8,7476.3,ok,ok,Yes,Standard RNA,4.3,Complete,2019-03-15,4145-SMP-08,301897477.0,F1,SCRIPT_RNAseq_Batch_01
subject_8100,54.9,,,,,,,,,,,,,,,,,,,,,,
subject_3401,88.2,2021-01-19,,,,,,,,,7.0,39.2,,,Yes,,,,,,,,
subject_6594,66.5,,,,,,,,,,,,,,,,,,,,,,
subject_4270,72.5,,,,,,,,,,,,,,,,,,,,,,
subject_7919,60.9,2020-04-14,,,,,,,,,,,,,,,,,,,,,
subject_4235,66.1,2023-10-16,,,,,,,,,,,,,,,,,,,,,
subject_6351,30.3,,,,,,,,,,,,,,No,,,,,,,,
subject_3493,62.3,,,,,,,,,,,,,,,,,,,,,,
subject_2855,52.7,2021-05-23,All 7 mL of sample were processed - cell count was too low to sort,QIAGEN RNeasy Micro,161004778.0,14.0,300520379.0,TS01063219,2021-05-26,3.0,8.4,794.6,RNA concentration outside recommended range for RINe; RINe edited,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,HSRNA,3.77,Complete,2021-06-15,2855-SMP-05,300520379.0,F1,SCRIPT_RNAseq_Batch_03
subject_5768,82.6,,,QIAGEN RNeasy Plus Micro,161004778.0,16.0,,,,,,,,,,,,,,,,,
subject_5971,52.9,2019-07-30,RNA concentration outside recommended range for RINe,QIAGEN RNeasy Plus Micro,160047191.0,16.0,301771550.0,TS01069817,2019-08-01,3.0,,239.1,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,HSRNA,7.51,Complete,2019-08-26,5971-SMP-06,301771550.0,H1,SCRIPT_RNAseq_Batch_01
subject_2796,43.2,,,,,,,,,,,,,,,,,,,,,,
subject_3630,,,,,,,,,,,,,,,,,,,,,,,
subject_4813,92.7,2021-09-26,,Norgen Single Cell RNA kit,160052304.0,12.0,,,,,,,,,,,,,,,,,
subject_7203,66.6,,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",,,,,,,,,,,,,,,,,,,,
subject_2420,36.8,2019-06-25,,,,,,,,,,,,,,,,,,,,,
subject_5427,63.4,2021-04-13,,QIAGEN RNeasy Micro,161004778.0,14.0,302862127.0,TS01064421,,,,,,,,,,,,5427-SMP-06,302862127.0,,
subject_5312,64.2,,,,,,300239705.0,TS01063219,,,,,,,,,,,,5312-SMP-08,300239705.0,,
subject_4314,71.4,2022-06-18,,Norgen Single Cell RNA kit,160047191.0,14.0,,,,,,,,,,,,,,,,,
subject_6016,35.3,2017-02-23,,,,,,,,,,,,,,,,,,,,,
subject_5159,54.4,2020-12-26,,Norgen Single Cell RNA kit,160047191.0,16.0,303252059.0,TS01063219,2020-12-28,3.0,,7983.5,RNA concentration outside recommended range for RINe; RINe edited,Use for sequencing.,Yes,Standard RNA,5.99,Complete,2021-01-18,5159-SMP-07,303252059.0,C1,SCRIPT_RNAseq_Batch_03
subject_2706,74.3,,,,,,,,,,,,,,No,,,,,,,,
subject_5857,86.2,,,,,,,,,,,,,,,,,,,,,,
subject_5737,75.6,2020-07-19,Sample extremely-mucous like; small yield in cells and insufficient amount to sort,,,,,,,,,,,,,,,,,,,,
subject_2416,62.8,,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",,,,,,,,6.5,96.3,,,No,,,,,,,,
subject_7038,61.7,2017-07-12,All 7 mL of sample were processed - cell count was too low to sort,,,,,,,,,,,,,,,,,,,,
subject_8952,64.0,,,,,,,,,,,,,,,,,,,,,,
subject_3758,76.1,2019-12-17,,Norgen Single Cell RNA kit,161004778.0,16.0,301988315.0,TS01063219,2019-12-17,2.0,9.8,169.2,ok,Use for sequencing.,Yes,Pico RNA,5.97,Complete,2020-01-16,3758-SMP-00,301988315.0,B1,SCRIPT_RNAseq_Batch_03
subject_6890,76.2,2020-05-15,,,,,,,,,,,,,,,,,,,,,
subject_3836,59.7,2021-10-25,All 7 mL of sample were processed - cell count was too low to sort,Norgen Single Cell RNA kit,161004778.0,12.0,304767805.0,TS01069817,2021-10-26,1.0,,14638.3,RNA concentration outside recommended range for RINe,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,Standard RNA,7.39,Partial,2021-11-27,3836-SMP-05,304767805.0,C1,SCRIPT_RNAseq_Batch_04
subject_5672,60.8,,,,,,,,,,,,,,,,,,,,,,
subject_5082,47.6,,,,,,,,,,,,,,,,,,,,,,
subject_4325,90.5,,,Norgen Single Cell RNA kit,170220164.0,12.0,303803776.0,TS01064421,,,,,,,,,,,,4325-SMP-04,303803776.0,,
subject_8341,77.9,,RNA concentration outside recommended range for RINe,,,,,,,,,,,,,,,,,,,,
subject_7149,49.6,,,,,,,,,,,,,,,,,,,,,,
subject_4145,47.8,2025-01-14,,QIAGEN RNeasy Plus Micro,161004778.0,18.0,304749502.0,TS01063219,2025-01-16,1.0,7.9,4920.4,RNA concentration outside recommended range for RINe; RINe edited,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,HSRNA,7.65,Complete,2025-02-15,4145-SMP-00,304749502.0,H1,SCRIPT_RNAseq_Batch_03
subject_6385,58.5,,,,,,,,,,,,,,,,,,,,,,
subject_7344,,,,,,,,,,,,,,,,,,,,,,,
subject_7707,,2021-12-29,,,,,,,,,,,,,,,,,,,,,
subject_4861,69.1,,,QIAGEN RNeasy Plus Micro,170220164.0,12.0,,,,,,,,,,,,,,,,,
subject_7080,54.3,,,,,,,,,,,,,,,,,,,,,,
subject_6386,59.3,,,,,,,,,,,,,,No,,,,,,,,
subject_4294,62.2,2022-06-09,,,,,302778284.0,TS01063219,,,,,,,,,,,,4294-SMP-01,302778284.0,,
subject_3684,62.7,2017-03-24,Sample extremely-mucous like; small yield in cells and insufficient amount to sort,Norgen Single Cell RNA kit,170220164.0,16.0,303558667.0,TS01064421,2017-03-24,1.0,,60.9,RNA concentration outside recommended range for RINe; RINe edited,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",No,Pico RNA,7.51,Complete,2017-04-03,3684-SMP-06,303558667.0,A1,SCRIPT_RNAseq_Batch_04
subject_7101,66.3,,,,,,,,,,,,,,,,,,,7101-SMP-06,,,
subject_2938,71.4,,,,,,,,,,,,,,,,,,,,,,
subject_8159,91.2,,,,,,,,,,,,,,,,,,,8159-SMP-01,,,
subject_8044,56.2,,,,,,,,,,,,,,,,,,,,,,
subject_4655,31.3,2017-08-17,,,,,,,,,,,,,,,,,,,,,
subject_2386,37.9,,,,,,,,,,,,,,No,,,,,,,,
subject_4645,67.0,,,,,,,,,,,,,,,,,,,,,,
subject_2295,54.7,2023-09-06,RNA concentration outside recommended range for RINe,Norgen Single Cell RNA kit,170220164.0,18.0,302552735.0,TS01064421,2023-09-08,3.0,,87.6,RNA concentration outside recommended range for RINe; RINe edited,Use for sequencing.,Yes,Standard RNA,5.58,Partial,2023-09-25,2295-SMP-01,302552735.0,D1,SCRIPT_RNAseq_Batch_03
subject_5298,67.0,2021-05-21,All 7 mL of sample were processed - cell count was too low to sort,Norgen Single Cell RNA kit,161004778.0,14.0,302005788.0,TS01063219,2021-05-24,2.0,,154.6,ok,Use for sequencing.,Yes,Pico RNA,7.11,Partial,2021-06-22,5298-SMP-07,302005788.0,A1,SCRIPT_RNAseq_Batch_01
subject_8898,53.6,,,,,,,,,,,,,,,,,,,,,,
subject_8015,64.3,,,,,,,,,,,,,,,,,,,,,,
subject_4824,77.1,2018-01-16,,QIAGEN RNeasy Plus Micro,160047191.0,14.0,304542211.0,TS01063219,2018-01-18,2.0,,25475.2,ok,ok,Yes,Standard RNA,0.15,Complete,2018-02-19,4824-SMP-02,304542211.0,D1,SCRIPT_RNAseq_Batch_02
subject_8290,56.8,,,,,,,,,,,,,,,,,,,8290-SMP-00,,,
subject_8241,78.1,,"Traces look ok, decent 18S and 28S peaks. Use for sequencing.",,,,,,,,,,,,,,,,,,,,
subject_4377,64.5,2022-04-06,,QIAGEN RNeasy Plus Micro,161004778.0,12.0,302586743.0,TS01063219,2022-04-08,1.0,,2973.8,ok,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",Yes,HSRNA,4.24,Complete,2022-04-22,4377-SMP-08,302586743.0,H1,SCRIPT_RNAseq_Batch_01
subject_6802,64.3,2016-03-23,,,,,300926914.0,TS01064421,,,,,,,,,,,,6802-SMP-04,300926914.0,,
subject_5362,26.2,2018-04-23,,QIAGEN RNeasy Micro,170220164.0,12.0,302766019.0,TS01064421,2018-04-25,1.0,,2680.9,RNA concentration outside recommended range for RINe; RINe edited,"Low concentration, almost no 18S and 28S peaks. Use for sequencing (serial sample).",No,Pico RNA,4.93,Partial,2018-05-12,5362-SMP-04,302766019.0,A1,SCRIPT_RNAseq_Batch_04
subject_3666,42.3,2021-11-09,,,,,,,,,,,,,,,,,,,,,
subject_7100,,,,,,,,,,,,,,,No,,,,,,,,
subject_4827,25.2,2017-08-24,,Norgen Single Cell RNA kit,161004778.0,12.0,302263762.0,TS01069817,,,,,,,,,,,,4827-SMP-02,302263762.0,,
subject_2961,66.3,,Sample extremely-mucous like; small yield in cells and insufficient amount to sort,,,,,,,,,,,,,,,,,,,,
subject_8479,76.4,2018-01-24,,QIAGEN RNeasy Plus Micro,161004778.0,14.0,302639023.0,TS01063219,2018-01-24,3.0,8.9,25.5,,ok,Yes,Pico RNA,8.16,Complete,2018-02-15,8479-SMP-04,302639023.0,F1,SCRIPT_RNAseq_Batch_03
subject_3693,68.1,,,,,,,,,,,,,,,,,,,,,,
subject_3852,45.8,,All 7 mL of sample were processed - cell count was too low to sort,,,,,,,,,,,,,,,,,,,,
subject_8650,39.0,2021-04-19,All 7 mL of sample were processed - cell count was too low to sort,QIAGEN RNeasy Micro,161004778.0,16.0,304335958.0,TS01063219,2021-04-21,1.0,,832.9,RNA concentration outside recommended range for RINe,ok,Yes,HSRNA,4.68,Complete,2021-04-26,8650-SMP-07,304335958.0,C1,SCRIPT_RNAseq_Batch_01
subject_2871,72.5,2020-06-18,Sample extremely viscous; was diluted with MACs buffer prior to filtering (no supernatant sample collected),,,,,,,,,,,,No,,,,,,,,
subject_3494,48.4,,Sample extremely-mucous like; small yield in cells and insufficient amount to sort,,,,,,,,,,,,,,,,,3494-SMP-00,,,
subject_3047,44.5,,,,,,,,,,,,,,,,,,,,,,
subject_2651,65.1,,,,,,,,,,,,,,,,,,,,,,
subject_7838,78.7,2016-01-04,,,,,,,,,,,,,,,,,,,,,
